ip,loc,city,region
84.74.88.79,"47.5592,7.8433",Möhlin,Aargau
194.230.158.119,"47.3667,8.5500",Zürich,Zurich
194.230.158.34,"47.3667,8.5500",Zürich,Zurich
84.74.93.235,"47.5592,7.8433",Möhlin,Aargau
194.230.158.125,"47.3667,8.5500",Zürich,Zurich
194.230.158.126,"47.3667,8.5500",Zürich,Zurich
194.230.158.35,"47.3667,8.5500",Zürich,Zurich
194.230.158.39,"47.3667,8.5500",Zürich,Zurich
194.230.158.54,"47.3667,8.5500",Zürich,Zurich
194.230.158.95,"47.3667,8.5500",Zürich,Zurich
46.5.20.220,"48.1210,7.8536",Emmendingen,Baden-Wurttemberg
91.35.245.131,"47.8082,7.6303",Müllheim,Baden-Wurttemberg
194.230.158.32,"47.3667,8.5500",Zürich,Zurich
194.230.158.113,"47.3667,8.5500",Zürich,Zurich
194.230.158.62,"47.3667,8.5500",Zürich,Zurich
194.230.158.70,"47.3667,8.5500",Zürich,Zurich
46.237.220.59,"48.2667,7.7333",Rust,Baden-Wurttemberg
194.230.158.118,"47.3667,8.5500",Zürich,Zurich
194.230.158.27,"47.3667,8.5500",Zürich,Zurich
194.230.158.48,"47.3667,8.5500",Zürich,Zurich
178.197.228.108,"47.3667,8.5500",Zürich,Zurich
194.230.158.86,"47.3667,8.5500",Zürich,Zurich
194.230.158.13,"47.3667,8.5500",Zürich,Zurich
212.60.53.138,"47.2153,7.7961",Langenthal,Bern
194.230.158.122,"47.3667,8.5500",Zürich,Zurich
194.230.158.69,"47.3667,8.5500",Zürich,Zurich
78.110.141.182,"47.4661,8.3266",Wettingen,Aargau
194.230.158.22,"47.3667,8.5500",Zürich,Zurich
194.230.159.233,"47.3667,8.5500",Zürich,Zurich
194.230.158.73,"47.3667,8.5500",Zürich,Zurich
194.230.158.85,"47.3667,8.5500",Zürich,Zurich
194.230.158.36,"47.3667,8.5500",Zürich,Zurich
194.230.158.7,"47.3667,8.5500",Zürich,Zurich
194.230.158.105,"47.3667,8.5500",Zürich,Zurich
194.230.158.47,"47.3667,8.5500",Zürich,Zurich
194.230.158.116,"47.3667,8.5500",Zürich,Zurich
194.230.158.114,"47.3667,8.5500",Zürich,Zurich
194.230.158.127,"47.3667,8.5500",Zürich,Zurich
194.230.158.50,"47.3667,8.5500",Zürich,Zurich
194.230.158.120,"47.3667,8.5500",Zürich,Zurich
194.230.158.25,"47.3667,8.5500",Zürich,Zurich
194.230.158.76,"47.3667,8.5500",Zürich,Zurich
194.230.158.26,"47.3667,8.5500",Zürich,Zurich
194.230.158.177,"47.3667,8.5500",Zürich,Zurich
194.230.158.239,"47.3667,8.5500",Zürich,Zurich
194.230.158.110,"47.3667,8.5500",Zürich,Zurich
194.230.159.211,"47.3667,8.5500",Zürich,Zurich
194.230.159.200,"47.3667,8.5500",Zürich,Zurich
194.230.159.177,"47.3667,8.5500",Zürich,Zurich
194.230.158.10,"47.3667,8.5500",Zürich,Zurich
194.230.158.168,"47.3667,8.5500",Zürich,Zurich
194.230.158.162,"47.3667,8.5500",Zürich,Zurich
194.230.158.58,"47.3667,8.5500",Zürich,Zurich
194.230.158.209,"47.3667,8.5500",Zürich,Zurich
194.230.158.51,"47.3667,8.5500",Zürich,Zurich
194.230.159.96,"47.3667,8.5500",Zürich,Zurich
194.230.158.30,"47.3667,8.5500",Zürich,Zurich
194.230.158.232,"47.3667,8.5500",Zürich,Zurich
194.230.155.235,"47.3667,8.5500",Zürich,Zurich
194.230.159.206,"47.3667,8.5500",Zürich,Zurich
194.230.159.92,"47.3667,8.5500",Zürich,Zurich
194.230.158.154,"47.3667,8.5500",Zürich,Zurich
194.230.148.81,"47.3667,8.5500",Zürich,Zurich
194.230.147.155,"47.5584,7.5733",Basel,Basel-City
194.230.147.164,"47.5584,7.5733",Basel,Basel-City
194.230.147.15,"47.5584,7.5733",Basel,Basel-City
194.230.148.103,"47.3667,8.5500",Zürich,Zurich
194.230.147.19,"47.5584,7.5733",Basel,Basel-City
194.230.147.212,"47.5584,7.5733",Basel,Basel-City
194.230.148.245,"47.3667,8.5500",Zürich,Zurich
194.230.148.140,"47.3667,8.5500",Zürich,Zurich
194.230.147.244,"47.5584,7.5733",Basel,Basel-City
194.230.147.156,"47.5584,7.5733",Basel,Basel-City
194.230.147.117,"47.5584,7.5733",Basel,Basel-City
194.230.148.160,"47.3667,8.5500",Zürich,Zurich
194.230.148.37,"47.3667,8.5500",Zürich,Zurich
194.230.148.118,"47.3667,8.5500",Zürich,Zurich
194.230.147.143,"47.5584,7.5733",Basel,Basel-City
194.230.147.91,"47.5584,7.5733",Basel,Basel-City
194.230.148.108,"47.3667,8.5500",Zürich,Zurich
194.230.147.247,"47.5584,7.5733",Basel,Basel-City
194.230.147.78,"47.5584,7.5733",Basel,Basel-City
194.230.147.98,"47.5584,7.5733",Basel,Basel-City
194.230.148.68,"47.3667,8.5500",Zürich,Zurich
194.230.147.128,"47.5584,7.5733",Basel,Basel-City
194.230.147.192,"47.5584,7.5733",Basel,Basel-City
194.230.147.210,"47.5584,7.5733",Basel,Basel-City
194.230.147.185,"47.5584,7.5733",Basel,Basel-City
194.230.147.66,"47.5584,7.5733",Basel,Basel-City
194.230.147.250,"47.5584,7.5733",Basel,Basel-City
194.230.147.204,"47.5584,7.5733",Basel,Basel-City
194.230.147.178,"47.5584,7.5733",Basel,Basel-City
79.146.198.113,"40.4165,-3.7026",Madrid,Madrid
194.230.159.243,"47.3667,8.5500",Zürich,Zurich
216.7.145.99,"28.4058,-80.6048",Cape Canaveral,Florida
194.230.159.246,"47.3667,8.5500",Zürich,Zurich
194.230.159.217,"47.3667,8.5500",Zürich,Zurich
196.64.53.159,"30.4202,-9.5982",Agadir,Souss-Massa
194.230.159.195,"47.3667,8.5500",Zürich,Zurich
194.230.159.191,"47.3667,8.5500",Zürich,Zurich
194.230.147.27,"47.5584,7.5733",Basel,Basel-City
194.230.147.12,"47.5584,7.5733",Basel,Basel-City
194.230.147.90,"47.5584,7.5733",Basel,Basel-City
178.39.228.109,"46.5160,6.6328",Lausanne,Vaud
84.72.9.181,"47.5592,7.8433",Möhlin,Aargau
194.230.147.130,"47.5584,7.5733",Basel,Basel-City
194.230.147.6,"47.5584,7.5733",Basel,Basel-City
194.230.147.41,"47.5584,7.5733",Basel,Basel-City
194.230.147.85,"47.5584,7.5733",Basel,Basel-City
194.230.147.148,"47.5584,7.5733",Basel,Basel-City
194.230.147.95,"47.5584,7.5733",Basel,Basel-City
194.230.147.88,"47.5584,7.5733",Basel,Basel-City
185.12.130.250,"47.3667,8.5500",Zürich,Zurich
83.78.245.27,"47.3667,8.5500",Zürich,Zurich
194.230.147.167,"47.5584,7.5733",Basel,Basel-City
194.230.147.160,"47.5584,7.5733",Basel,Basel-City
194.230.147.132,"47.5584,7.5733",Basel,Basel-City
149.172.48.250,"47.9959,7.8522",Freiburg,Baden-Wurttemberg
194.230.147.225,"47.5584,7.5733",Basel,Basel-City
194.230.147.18,"47.5584,7.5733",Basel,Basel-City
194.230.158.131,"47.3667,8.5500",Zürich,Zurich
194.230.147.154,"47.5584,7.5733",Basel,Basel-City
194.230.147.106,"47.5584,7.5733",Basel,Basel-City
194.230.147.25,"47.5584,7.5733",Basel,Basel-City
194.230.147.229,"47.5584,7.5733",Basel,Basel-City
194.230.147.206,"47.5584,7.5733",Basel,Basel-City
194.230.147.26,"47.5584,7.5733",Basel,Basel-City
194.230.147.234,"47.5584,7.5733",Basel,Basel-City
194.230.147.79,"47.5584,7.5733",Basel,Basel-City
194.230.147.39,"47.5584,7.5733",Basel,Basel-City
194.230.147.99,"47.5584,7.5733",Basel,Basel-City
194.230.147.251,"47.5584,7.5733",Basel,Basel-City
194.230.147.179,"47.5584,7.5733",Basel,Basel-City
194.230.147.153,"47.5584,7.5733",Basel,Basel-City
194.230.147.245,"47.5584,7.5733",Basel,Basel-City
194.230.147.14,"47.5584,7.5733",Basel,Basel-City
194.230.147.93,"47.5584,7.5733",Basel,Basel-City
194.230.147.57,"47.5584,7.5733",Basel,Basel-City
194.230.147.82,"47.5584,7.5733",Basel,Basel-City
194.230.147.75,"47.5584,7.5733",Basel,Basel-City
194.230.159.249,"47.3667,8.5500",Zürich,Zurich
194.230.155.103,"47.3667,8.5500",Zürich,Zurich
194.230.145.238,"46.0101,8.9600",Lugano,Ticino
194.230.147.241,"47.5584,7.5733",Basel,Basel-City
82.197.186.250,"47.5584,7.5733",Basel,Basel-City
194.230.147.17,"47.5584,7.5733",Basel,Basel-City
62.202.190.183,"47.3667,8.5500",Zürich,Zurich
194.230.145.202,"46.0101,8.9600",Lugano,Ticino
212.120.55.164,"47.2573,8.1809",Reinach,Aargau
178.197.225.201,"47.3667,8.5500",Zürich,Zurich
194.230.147.168,"47.5584,7.5733",Basel,Basel-City
85.3.170.253,"46.9481,7.4474",Bern,Bern
194.230.147.64,"47.5584,7.5733",Basel,Basel-City
194.230.147.5,"47.5584,7.5733",Basel,Basel-City
85.7.229.136,"47.5584,7.5733",Basel,Basel-City
194.230.147.195,"47.5584,7.5733",Basel,Basel-City
194.230.147.238,"47.5584,7.5733",Basel,Basel-City
194.230.147.249,"47.5584,7.5733",Basel,Basel-City
194.230.147.169,"47.5584,7.5733",Basel,Basel-City
194.230.147.24,"47.5584,7.5733",Basel,Basel-City
194.230.147.175,"47.5584,7.5733",Basel,Basel-City
194.230.147.31,"47.5584,7.5733",Basel,Basel-City
54.89.154.62,"39.0437,-77.4875",Ashburn,Virginia
194.230.147.141,"47.5584,7.5733",Basel,Basel-City
3.12.164.171,"39.9612,-82.9988",Columbus,Ohio
2.47.46.116,"45.7252,9.0730",Vertemate Con Minoprio,Lombardy
5.89.26.242,"45.4537,12.4573",Ca' Savio,Veneto
194.230.145.56,"46.0101,8.9600",Lugano,Ticino
